Gene	A31338	A31372	A31360	A31387	A30212	A33903	A31406	A31388	A31288	A31390	A30231	A31428	A31432	A31467	A31459
AACS	5.2325	2.2477	4.2672	3.9514	4.4454	5.203	1.9286	3.9088	2.3894	11.5499	4.5348	3.2732	9.4109	2.9902	3.8569
AACSL	0.6196	0	0	0	0	0	0	0	0	0	0	0	0.0191	0	0
AADAC	3.0527	0	0.0735	0	0	0.0524	0.4715	0	0	0.2252	0.1942	0	0.2271	0	0
AADACL1	16.5856	13.4582	5.7024	13.2631	4.4332	10.6389	24.4292	31.342	43.028	10.1654	2.3074	5.2687	15.4017	6.2505	36.414
AADACL2	0	0	0	0	0	0.217	0	0.052	0.0042	0	0	0	0.0103	0.0031	0
AADACL3	0.0746	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0.7089	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0.3359	0.8311	0	0	0	0	0	0	0	0.7937	0.1275	0.8328	0.3332	1.7048	0.3701
AAGAB	29.4533	51.498	41.4004	63.5759	12.6725	69.9057	47.262	55.1093	33.1467	19.847	15.1296	40.6355	64.1399	52.1293	60.042
AAK1	31.8957	10.9334	13.4138	16.6948	25.7513	10.4799	34.938	17.672	25.8351	12.0922	15.2761	12.7783	16.3691	20.1127	15.2943
AAMP	50.9113	78.4131	105.086	73.4528	44.6667	92.6814	93.2087	64.5237	90.4634	61.803	23.2492	94.195	78.0841	96.5025	70.0602
AANAT	3.1002	0.0702	0.2771	0.4909	0.6443	0.041	0.525	0	0.6602	0.6529	0.5528	0.2183	0.3149	0	0.3245
AARS	13.1572	81.1761	54.2905	77.0802	11.5868	58.8431	27.1848	49.9305	51.0807	99.9591	22.4003	56.8826	89.0082	104.3221	29.0796
AARS2	2.0747	4.1613	7.5604	3.8249	3.2685	6.3239	1.8044	5.345	3.1502	1.4102	2.5731	4.6567	3.3035	5.1893	1.1747
AARSD1	10.2822	22.9216	13.7074	12.1123	5.5248	17.1984	7.7586	12.0167	4.4066	8.5158	4.3547	19.8049	16.5437	19.7826	6.8569
AASDH	7.6226	18.6466	12.3663	16.795	5.0014	14.6399	14.1379	12.3381	12.3583	8.5406	5.3877	18.8533	19.0765	16.0403	14.9212
AASDHPPT	20.7359	92.8187	65.6069	61.3696	12.8576	95.5681	49.7833	62.9206	49.3778	66.5348	10.3442	85.5645	90.1209	115.0959	68.6839
AASS	1.6686	37.1809	0.3306	0.132	0.0414	0.1933	0.6069	0	0.0434	0.7131	5.3079	0.6958	1.013	0.4711	0.2879
AATF	77.4594	109.6465	101.9484	87.742	64.0988	104.5978	86.8757	117.7666	111.209	60.9928	37.1728	119.7213	71.3323	119.2188	87.3826
AATK	1.9724	0.1411	0.5558	0.1223	2.5298	0.1858	0.6039	0.358	0.7534	0.4122	0.0118	0.0094	0.1754	0.0341	1.2003
AB015752.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019437.56	0.1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019438.55	0	0.0426	0	0	0	0	0	0	0	7.1085	0.0061	0	0	0	0
AB019438.63	15.8577	0	0	0	0	0	0	0.3999	0	0	0	0	3.2296	0	0
AB019438.66	0.123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019439.1	1.1467	0.4907	0.0556	0	0.01	0.0354	0	0	0	0	0	0	0.7491	1.1145	0.3906
AB019439.2	23.799	72.1509	18.2712	13.1335	2.6989	36.279	13.8421	19.2188	0.6132	1.8543	12.4046	61.1701	32.9047	354.8294	3.3408
AB019439.3	2.1667	0	0	0	0	0	0	0	0	0.0282	0	0	0	0	0
AB019439.68	0	0	0	0	0	0	0	0.0192	0	0	0	0	0	0	0
AB019440.1	0.7696	0	0	0	0	1.386	0	3.8415	0	0	0	0	6.276	1.2187	6.8181
AB019440.30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019441.29	13.283	30.3841	24.0324	12.1513	16.3116	21.7838	9.5601	22.796	15.2275	15.08	28.5469	43.7571	15.3353	35.3485	14.4396
AB020862.1	1.0996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	4.0867000000000004	2.815	1.7158	0.634	1.982	1.9999	5.0917	6.7227	1.9068	0.3456	4.1337	3.1302	4.0916	3.3345	4.5084
ABCA1	8.6898	17.1277	9.5492	10.0695	0.5332	4.9952	4.8735	15.9769	9.463	17.7243	4.9238	9.8434	11.9505	19.4732	45.1257
ABCA10	1.2959	0.0362	0	0.0035	0.1234	0.3183	0.0374	0.0922	0.0659	0.1113	0.184	0	0.0979	0.1048	0.0112
ABCA11	0.5821	4.2092	2.8281	0.4667	0.3552	0.0077	0.5289	0	0.0014	3.274	0.3934	6.7391	1.335	2.2123	0.3589
ABCA12	0.9214	0.1565	0.0014	0.0107	0.0412	0.0369	0	0.0143	0	0.0057	0.1149	0	0.0491	0.0339	0.0596
ABCA13	0.48	0	0.0809	0.0657	0.0017	0.0312	0.0309	0	0.0084	0	0	0.0317	0.0385	0	0.0833
ABCA17P	1.5292	0.007	0	0.1494	0.1221	0	0	0	0.0482	0.6054	0.0122	0	0	0.0473	0.0071
ABCA2	0.742	1.1026	2.0914	0.1625	2.244	3.6356	0.4016	0.9186	0.7188	0.4315	3.4351	4.5811	1.0018	3.3009	0.2263
ABCA3	1.1146	0.7565	0.4676	1.1955	1.0057	0.7642	0.6281	0.1528	1.3336	0.3922	2.5234	0.1005	1.7232	0.5815	0.1544
ABCA4	0.8811	0.0022	0	0	0	6e-4	0	0	0	0	0	0	0	0	0
ABCA5	5.5031	3.0816	0.3726	3.7701	1.291	4.1981	3.7366	4.7084	2.0096	1.4031	2.3747	0.5577	8.0564	1.2034	4.5583
ABCA6	2.3877	1.4309	0.3545	0.3722	0.0388	0.0924	0.1852	0.4131	0.9976	0.1206	0.0915	0.5743	1.206	19.5196	0.0738
ABCA7	22.3224	6.7839	8.0153	10.6201	25.1655	12.1562	24.5246	27.8747	11.9773	12.2427	64.6824	9.3863	13.2688	11.5541	12.3729
ABCA8	0.3385	0	0	0	0.0053	0	0.486	0	0	0	0	0.0325	0.1325	0	0
ABCA9	0.7522	0.429	0.0612	0.1787	0.0967	0.1146	0.3827	0.2256	0.3143	0.2045	0.8747	0.319	5.1349	7.0751	0
ABCB1	1.3796	14.9027	2.0855	0.4467	0.0518	3.2622	1.0236	0.0457	0	9.0105	1.221	8.7432	0.9342	9.7934	0.5367
ABCB10	17.2827	18.863	12.1105	74.273	3.311	13.7503	14.5899	25.8438	15.8449	19.8695	62.8508	11.3112	18.0978	9.9216	13.3284
ABCB11	0.2364	0	0.001	0	0.0031	8e-4	0	0.0817	0	0	0	0.0012	0.0064	0.0056	0.0138
ABCB4	0.7778	0.0079	0.5842	0	0.05	0.0239	0	0	0	2.658	0	0.0406	0.3763	0.0142	0
ABCB5	0.7664	0.0246	0	2e-4	0	0.0011	0.0018	0.0377	0	0	0	0.0674	0.0022	0.3619	0
ABCB6	2.6809	0.264	3.707	0.6895	0.2549	1.4141	0.6501	5.0015	1.0861	7.7678	4.3628	2.1024	1.5104	1.9519	0.4834
ABCB7	16.4147	99.6155	43.8882	30.3189	14.2977	46.0881	40.5659	42.1137	29.02	37.7274	8.9679	47.5606	64.4275	51.1682	67.9214
ABCB8	4.4552	0.7764	4.4665	3.4352	4.1775	5.9287	2.1753	4.4306	3.4334	1.9357	7.3173	1.1467	2.4672	0.9616	0.3197
ABCB9	2.3841	1.4497	1.6801	0.7672	0.857	1.279	0.2786	0.2738	0.872	0.0234	0.2186	1.3382	0.6492	1.2197	0.383
ABCC1	13.1506	57.6536	22.6095	5.7555	4.1839	52.2066	11.1357	45.3329	10.0306	19.1866	8.6567	46.682	79.5682	50.1909	31.2119
ABCC10	5.8189	1.8889	1.4169	3.6929	4.1728	2.5283	4.8672	2.1063	6.4074	5.9861	5.6919	2.4128	2.9864	4.0922	1.3088
ABCC11	1.3362	0.0735	0.0652	0.0258	0.0348	0.0055	0.0372	0.0215	0.0024	0	0.0608	0.0229	0.0251	0.0477	0
ABCC12	0.2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	1.1515	0	0.0014	0.1039	0.0257	0	0	0	0	0	0.0841	0	0	0	0
ABCC2	0.9154	0.081	0.1197	0.3198	0.2321	0.6178	1.1618	2.1622	1.3733	0.7095	0.7437	0.9177	2.0528	0.935	0.8937
ABCC3	6.4283	0.5484	1.2473	1.6859	2.8902	0.0249	21.1559	6.8643	5.5036	0.6576	0.0201	0.3482	1.0319	3.4709	4.5409
ABCC4	1.7705	5.5595	3.2893	0.8754	1.9416	10.7842	1.3101	10.2851	0.5013	8.7943	1.3246	3.9552	10.8555	32.5708	2.0486
ABCC5	9.6388	5.7493	10.255	5.3719	1.0541	3.2021	7.1264	12.5917	7.7753	11.7831	4.94	10.2191	11.6301	14.8152	11.3128
ABCC6	3.6175	1.0758	1.22	2.3865	1.9436	2.2242	1.1797	0.9443	0.3681	0.0747	15.2983	0.7546	3.4496000000000002	0.4901	3.8151
ABCC8	0.49370000000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	1.1768	0	0	0	0	0	0	0	0	0.1386	0	0	0	0	0
ABCD1	6.0614	0.8956	4.1819	2.035	7.6767	1.8677	3.1797	2.2681	6.6213	1.2214	6.6689	1.492	1.0475	1.8215	1.7932
ABCD1P2	0.9738	0	0.0166	0	0	0	0	0	0.0267	0.012	0.0116	0	0	0	0
ABCD1P4	0.0573	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0.5762	0.0535	0	0.4467	0.0527	0	0.3741	0	0	0.0387	0.2295	0.1391	0.4386	0.4094	0
ABCD3	5.9816	12.8336	3.6279	6.0524	1.7147	8.3209	6.1866	4.6301	3.8571	6.1877	6.5958	8.3816	8.0135	7.8355	7.1811
ABCD4	12.1999	29.5718	19.5543	9.5101	5.1768	24.306	15.243	21.7675	13.2492	16.5476	33.7353	31.3016	25.6978	26.9696	14.4826
ABCE1	10.1126	36.4325	18.4241	21.7723	2.7934	30.9106	15.5879	34.6008	8.0093	30.0108	9.9656	36.9894	36.7777	38.3877	19.3383
ABCF1	31.6137	52.7147	41.4069	56.9928	39.5345	40.2202	40.4119	54.6208	40.4181	47.0165	35.8644	48.754	49.2734	46.584	47.1336
ABCF2	24.4611	22.4028	33.6635	39.1816	13.6899	38.1708	25.1346	42.3841	27.0743	24.4443	7.486	20.9381	40.5889	21.0259	31.004
ABCF3	14.0421	28.1353	24.5027	14.0664	9.4968	18.4477	25.5142	12.1906	19.0101	14.8261	7.598	21.88	23.5065	28.3646	34.019
ABCG1	2.3384	4.2689	1.4368	0.0477	0.0959	2.5886	0.0592	2.7648	0.1454	0.7877	1.4216	5.1007	4.927	2.512	0.5852
ABCG2	0.8297	0.1038	0.1851	0	0.0768	0.0117	0	0	0	0.9602	0	0.3778	0.0222	0.6648	0
ABCG4	0.7012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	2.0962	0.0042	0.0052	0.0481	0.0057	0.0899	0.0169	0.1082	0	0.0027	0.0475	0.021	0.4712	0.0487	0.0161
ABCG8	2.6235	0	0	0	0.0352	0.0898	0.159	0	0	0	0.3311	0.0214	0	0.0111	0
ABHD1	4.387	1.6325	2.6575	0.8848	3.8259	2.6054	0.6836	0.2504	0.7678	0.3201	1.6629	0.9819	3.3917	2.3284	1.4849
ABHD10	11.4542	80.225	60.0145	20.9151	6.1039	62.3432	34.7949	56.2979	16.1459	30.361	9.3232	62.2992	64.7462	55.4216	31.4203
ABHD11	31.9214	9.0149	17.4134	31.3952	28.311	20.3755	33.1908	17.4362	41.2751	16.4163	12.3209	9.3822	16.7065	9.6148	19.4703
ABHD12	19.9471	10.8838	16.6669	16.2436	25.9144	18.2981	9.651	8.355	14.2094	10.8918	130.619	13.0383	16.2012	14.9497	7.1355
ABHD12B	3.0636	5.0038	0.7684	1.2509	0.6726	1.8277	2.7954	3.0018	1.2289	0.1887	4.0241	1.435	4.3319	0.4035	0.5176
ABHD13	7.1086	12.6901	8.3147	4.12	4.0731	17.7274	12.8272	18.0977	12.0609	11.5689	4.5943	11.0409	15.1108	10.718	15.895
ABHD14A	19.3061	27.8686	22.1166	21.645	13.6826	30.5991	11.8226	20.298	13.9413	27.4706	14.2702	18.6372	26.5043	23.1186	18.8612
ABHD14B	14.5737	34.4609	32.2084	15.6038	23.8418	27.8869	25.3497	13.7957	22.7012	10.9122	11.1136	30.4907	27.1111	34.6712	7.2197
ABHD15	5.7454	10.1674	2.6876	14.3496	13.6448	9.7846	7.811	15.5575	5.7904	6.4473	46.5822	6.0701	11.8328	5.2013	5.4633
ABHD2	12.8045	13.4354	9.2836	11.4199	13.0511	27.8672	17.7011	16.1173	12.0486	11.5561	23.1716	9.3116	23.9092	11.8438	18.6186
ABHD3	17.1934	14.0845	16.0139	14.3762	17.0011	19.5058	28.5829	25.4945	18.2172	5.004	34.9524	12.6505	26.6912	7.2623	21.6341
ABHD4	9.4264	17.2697	6.6224	7.2313	3.4437	15.4237	6.3785	12.7051	9.5815	7.5142	1.0464	11.5467	21.3522	24.7443	10.2845
ABHD5	26.4683	11.8985	7.8773	13.4076	13.2168	6.8676	23.9434	11.9041	20.0463	14.9759	8.7554	6.801	11.4173	6.5934	39.0786
ABHD6	6.9675	9.2117	6.6488	7.8903	1.8225	6.2445	8.0375	6.7475	8.7996	5.8226	1.2714	4.0234	2.1954	2.4909	5.2021
ABHD8	3.6589	1.9312	3.5028	1.4742	6.3055	3.5053	1.3558	1.7028	4.1821	8.7721	3.7113	4.3957	3.6717	2.6781	1.0959
ABI1	44.9704	159.1902	72.2666	48.8751	21.46	110.0903	86.1313	117.9131	69.7747	79.738	78.9639	116.8318	148.4671	114.7591	148.0785
ABI2	3.1575	19.0243	6.0043	3.7457	0.8055	11.0121	3.0968	5.413	1.1432	5.6825	3.3305	15.9112	19.8337	15.9866	5.1457
ABI3	11.9711	14.063	23.17	12.2929	27.5533	0.7825	49.4842	19.7725	53.8201	27.1111	2.2134	23.1277	6.7399	7.4096	21.2569
ABI3BP	0.5361	0.465	3e-4	0.053	0.0068	0.1108	0.0787	0.0375	0.0852	1.0311	0.0582	0.1325	0.1692	0.2401	0.0418
ABL1	4.7879	3.941	6.929	3.105	3.3244	4.2825	2.9101	6.9377	4.8796	4.8622	23.5267	4.3343	5.4571	16.8382	1.9773
ABL2	5.3681	12.7221	4.2654	5.2802	2.3829	6.3482	4.051	4.0671	4.2863	5.3764	5.3421	9.3226	13.2047	7.8482	4.8115
ABLIM1	3.423	77.7473	8.5899	1.7014	0.6172	4.2626	3.2084	7.0371	0.2336	16.7202	1.4819	65.9213	7.6814	63.8284	2.8728
ABLIM2	1.5681	0.0371	0.0073	0	0.0404	0	0.0126	0.073	0.0036	0	0.0033	0.0059	0.0033	0.0705	0.0123
ABLIM3	0.4385	1.7212	0	1.6555	0.1411	2e-4	0.0543	0	2.8768	0	0	0.1942	0.0097	1.0064	0
ABO	0.4054	4.7758	6.8511	0	0.246	0	0.2017	0	0.5246	10.0588	0.0316	32.8671	0.1338	15.79	0.0799
ABP1	9.6918	0.4718	1.179	0	11.319	0.1803	1.7643	0.5325	0	0.0015	0.214	2.1371000000000002	1.7152	0.0134	16.962
ABR	19.5418	10.7955	17.4563	12.5916	22.8644	10.2012	28.9466	7.9974	26.1823	8.4332	65.0087	25.188	12.2287	17.7447	11.0109
ABRA	2.2544	1.0108	0.9131	2.3075	0.1617	0.8421	4.2891	1.4343	0.0976	0	9.286	2.5805	4.9151	1.6739	3.1931
ABT1	19.2449	65.2457	38.6265	30.4698	19.2441	46.6733	34.1552	23.2569	41.6673	14.3624	22.0868	45.1931	40.2359	55.147	45.4849
ABTB1	8.4964	3.6515	11.6941	2.7216	10.7808	12.5739	13.0737	9.9437	13.8337	4.7189	14.6599	7.9107	4.6539	7.6993	5.9621
ABTB2	0.5607	0.956	1.6154	0.6342	1.2246	0.5303	0.44	0.8303	0.5031	0.4589	0.0726	0.4581	1.2379	3.0664	0.3862
AC000003.1	0.3795	0	0.7724	1.4198	0.296	0	1.7956	0	0.8463	0	8.6271	0.5685	1.8094	0.0077	0.0954
AC000029.1	0.7619	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000029.2	1.9143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000032.1	0.6482	1.157	0	0	0.1578	0	0	0	0	0	0	0	0.1081	0.4608	0
AC000035.3	3.6246	0	0.0478	1.6499	0	0	1.0766	0	3.3996	0	0	0.1334	0.0169	0	0
AC000036.4	0.0958	0.0898	0	0	0	0	0	0	0	0	0.0562	0.5557	0.0704	0	0
AC000036.5	0.4281	3.9204	1.4865	0	0.0081	0.387	0.0293	1.1405	0	3.0016	0.4423	10.7321	1.1243	9.2052	0.1776
AC000041.8	0.642	3.3853	0	0	0.1732	0.1895	0	0	0	0	0.1085	0.5875	0.2317	0.0688	0
AC000059.1	0	1.3861	1.5349	0.8053	0.3011	1.6782	0.0134	1.3556	0	0.0817	0	0	2.3642	0	0.5559
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.1	0.6238	0.0641	0.0432	0.0981	0.0803	0.1175	0.1765	0.0859	0.1223	0.2028	0.0735	0.1158	0.2143	0.1067	0.0413
AC000068.5	7.0365	9.9627	6.368	8.5605	1.5055	4.0343	4.6632	7.7278	2.2376	1.4241	10.6315	5.6214	15.8388	5.9472	3.4588
AC000077.2	8.0637	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0
AC000078.5	0.6503	0	0	0.1534	0.2289	0.164	0	0	0	0.1576	4.2061	0	0.8644	0.278	0
AC000079.1	4.1023	2.8172	0.7309	2.7102	0.7258	0.3443	3.283	0.4323	1.1852	0.7954	1.9713	0.8877	4.6041	1.4099	0.7331
AC000081.2	0.518	0	0	8.2095	0.1882	0	0.233	0	2.0184	0	0.2919	0	0	0	0
AC000086.1	9.7992	2.5036	0.7454	5.8956	1.2426	1.3159	7.2041	9.0926	0.4949	0.1868	0.1014	1.3182	10.1823	1.0128	2.271
AC000089.3	10.3456	2.7434	0.6773	6.0795	1.257	1.2577	7.6807	9.5584	0.4776	0.1283	0.0817	1.3023	10.7498	1.0108	2.4103
AC000092.1	3.2422	2.3927	0.5966	2.6519	0.01	0	1.6389	4.0197	0	3.981	9.8812	1.5908	1.5801	0.1546	0.9499
AC000093.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0985	0
AC000094.3	0.1257	0	0.9718	2.8334	0.0486	0	0	0	0	0	0	0	0.1622	0	0
AC000095.8	1.471	0.2098	0.0227	0.2128	0.2853	0.2748	0.3725	0.5455	0.2645	0.1578	0.7141	0.668	0.1545	0.0046	0.3462
AC000099.1	0.2714	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000110.1	0.1061	0	0	0.0411	0	0.0725	0	0	0	0	0	0.0651	0	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	4.1461	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.6	0.0141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.7	4.607	5.1594	6.4356	10.39	4.0361	6.481	5.4032	8.5337	3.9363	3.6629	9.8012	4.1057	11.4833	3.5215	4.2369
AC000120.8	6.4053	14.9887	12.5631	12.0818	4.9916	23.2595	11.8968	15.8532	14.0235	32.4208	34.9616	11.5059	16.1268	11.7672	18.1419
AC000123.2	0.104	0.2849	0.6557	0.0242	0.3622	0.5018	0.2273	0.229	0.2223	1.907	0.0068	0.269	1.7137	0.4131	0.0032
AC000123.3	2.3197	2.4529	4.6405	3.5171	5.5231	1.9056	2.6785	2.7452	2.6734	1.1947	2.5737	0.58	2.1006	0.0385	0.6065
AC000123.4	4.7339	1.5314	3.8499	4.0375	1.6003	1.065	2.5421	3.5841	1.156	1.4606	2.6938	0	2.059	0	0.7094
AC000124.1	0.0323	0	0	0	0	0	0	0.0652	0	0	0	0	0	0	0
AC000362.1	0.0891	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000364.1	0.1907	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	3.0102	0	0	0	0	0.3116	0	0	0	0	0	0	0	0	0
AC000370.2	0.299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC001226.2	8.6649	0.2241	0.0551	0.1241	0.0422	0.1231	0.0823	0.1269	0.2101	0.1725	0.0216	0.0946	0.1752	0.3738	0
AC002055.4	2.897	6.3147	4.6729	3.5821	3.0069	7.8191	4.5368	3.4496000000000002	6.6508	1.6448	1.5674	5.3578	3.6151	6.7442	4.2705
AC002056.3	1.4844	5.2549	4.6999	6.0218	0.7992	3.5411	1.9784	2.2948	2.2345	2.7791	6.0187	4.1719	2.0407	3.4257	3.7869
AC002064.3	0.0347	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.4	0.9907	0	0	0	0.1199	0.0044	0	0	0	1.1515	0	0	0.1736	0	0
AC002064.5	0.0645	0	0	0	0	0.0867	0	0	0	0	0	0	0	0	0
AC002064.7	3.4933	0	0	0	0	1.102	0	0	0	0	0.4763	0	0.2298	0.9616	0
AC002066.1	0.4129	0	5e-4	0	0.0124	0.2756	0.3038	0.0225	0.1621	1.2749	0	0.0584	0.0504	0.0391	0
AC002069.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.6	0.454	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.7	5.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002073.2	11.9405	46.3733	18.1325	18.374	2.7505	27.0942	26.1951	21.7207	31.4028	23.2107	5.2109	27.6719	44.0148	24.5979	28.0918
AC002073.3	5.2965	3.9447	2.482	0	10.5865	0.252	4.7181	2.5606	2.8782	2.7282	0.6299	1.0825	1.822	2.5489	4.1743
AC002075.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	4.0377	6.3226	4.9378	2.07	4.5908	7.0835	3.6033	2.3851	4.6099	3.0682	0.4331	10.4491	3.4758	7.2245	3.2302
AC002076.10	3.2179	0	0	0	0.0592	0	0	0	0	0	0	0	0	0	0
AC002076.9	3.9576	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.1	2.6515	0.6759	0	1.9156	1.4574	1.056	4.5359	0.4218	1.4354	0.2262	1.5114	6.1924	4.131	1.5477	0.1686
AC002094.2	0.1685	0	0	0	0	0	0	0	0	0	0	0	0.1375	0	0
AC002094.3	3.2211	0	0.331	0.2965	0.358	0	1.698	0	1.1169	0.1118	6.4215	0.147	0	0.0851	0.3942
AC002094.4	0	0.4038	0.1736	0.3053	0	0.3912	0.1637	0	0.1046	0.5301	0	0.6954	0.16	0	0
AC002094.5	0	0.5723	0.0906	0	0.6142	0.094	0.4923	0.0968	0.056	0	0.5992	0.2293	0.1789	0	0
AC002115.5	0.0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.6	10.1548	22.4669	13.1013	8.742	5.792	17.7048	5.6386	18.1634	3.5549	6.1544	21.9475	22.7048	25.582	18.7942	9.6121
AC002115.7	2.6502	0	0	0	0	0.2499	0.5468	3.2265	0	0	0	0.1503	0	0	0
AC002117.1	41.9404	23.584	13.8233	22.4483	7.9906	35.4999	32.8187	34.9884	32.645	22.5423	88.2806	50.2015	58.3115	46.379	13.894
AC002126.5	19.4414	11.7131	15.7493	15.3985	10.6775	14.2399	16.4002	15.3559	16.7191	10.7632	13.1963	8.295	11.7895	11.024	17.4473
AC002127.2	0	0	0	0	0	0	0	0	0	0.0587	0	0	0	0	0
AC002127.4	1.9962	0	0	0	0.0599	0	0	0	0	0.2959	0	0	0	0	0
AC002303.1	0.8535	0.377	0	0.4962	0.9197	0.2693	1.1293	0	0	0.001	0.3969	0.6345	1.3218	0.839	0.0439
AC002310.1	1.8707	0.6301	3.4827	1.4544	0.9229	2.0818	0.8686	1.2045	1.2064	2.5746000000000002	0.9283	2.4451	2.8937	1.5925	1.2636
AC002310.2	15.4773	90.0854	33.8893	12.1728	5.1701	56.0388	8.6156	36.5719	16.6842	19.3665	10.6489	73.8485	50.9609	42.6924	20.6516
AC002310.7	3.4529	4.1014	3.9576	1.6251	1.2402	4.5883	3.5036	1.4275	2.6173	1.2646	3.451	5.4817	4.2789	5.3912	1.3228
AC002314.2	0.0597	1.807	0.06	0	0.0072	0.2959	0.8784	1.1678	0	0.1586	1.5853	1.4873	3.8028	0.1533	0.9002
AC002314.3	0.6867	0	0.1576	0	0.0212	0.0025	0	0	0	0	0.2816	0.173	0.204	0.1109	0
AC002321.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002321.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002331.1	1.0145	0	0	0	0	0	0	0	0	0	0	0	0	0	1.475
AC002347.1	2.3248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002347.2	4.2025	9.2132	3.6068	0	0.0426	3.9068	0.7958	9.8844	0.9494	0	2.7259	5.903	11.6473	3.0189	0
AC002351.1	0.5739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002359.1	0.2102	0.1672	0.732	0	0	0	0.3873	0	0	0	0	0	0.7685	0	0
AC002365.2	0.1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002365.4	2.0419	1.0325	1.7866	0.0417	0	0.2735	0.6358	0	0.7744	1.0292	0	0.505	2.5971	0.2565	0
AC002366.3	0	0	0	0	0	0	0.1259	0	0	0	0	0	0	0	0
